period_starting,period_ending,site,gender,asir
1975,1979,colorectal,male,27.2
1975,1979,colorectal,female,21.7
1975,1979,lung,male,61.2
1975,1979,lung,female,19.3
1975,1979,prostate,male,5.7
1975,1979,breast,female,23.8
1980,1984,colorectal,male,27.3
1980,1984,colorectal,female,26
1980,1984,lung,male,63.1
1980,1984,lung,female,20.6
1980,1984,prostate,male,7.5
1980,1984,breast,female,27.7
1985,1989,colorectal,male,33.7
1985,1989,colorectal,female,26.9
1985,1989,lung,male,56.9
1985,1989,lung,female,19.9
1985,1989,prostate,male,8.8
1985,1989,breast,female,34.1
1990,1994,colorectal,male,37.2
1990,1994,colorectal,female,30.1
1990,1994,lung,male,50.7
1990,1994,lung,female,17.7
1990,1994,prostate,male,11.8
1990,1994,breast,female,40.1
1995,1999,colorectal,male,39.2
1995,1999,colorectal,female,29.7
1995,1999,lung,male,49.1
1995,1999,lung,female,17.8
1995,1999,prostate,male,14.8
1995,1999,breast,female,48.7
2000,2004,colorectal,male,40.9
2000,2004,colorectal,female,29.3
2000,2004,lung,male,43.4
2000,2004,lung,female,16.4
2000,2004,prostate,male,19.7
2000,2004,breast,female,57.8
2005,2009,colorectal,male,40.2
2005,2009,colorectal,female,28.8
2005,2009,lung,male,38.9
2005,2009,lung,female,15.6
2005,2009,prostate,male,26.9
2005,2009,breast,female,60.1
2010,2014,colorectal,male,38.2
2010,2014,colorectal,female,26.7
2010,2014,lung,male,33.7
2010,2014,lung,female,15.1
2010,2014,prostate,male,28.6
2010,2014,breast,female,64.6
